"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN KHARIF CONSUMPTION (tons)","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE KHARIF CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH KHARIF CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL KHARIF CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","11361.0","24967.0","6337.0","8963.0","5425.0","10058.0","23123.0","43988.0"
"83","1991","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","12320.0","21044.0","6288.0","8053.0","6011.0","6693.0","24619.0","35790.0"
"83","1992","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","12364.0","23705.0","5838.0","8557.0","5207.0","6012.0","23409.0","38274.0"
"83","1993","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","9899.0","24735.0","4262.0","9558.0","3402.0","8988.0","17563.0","43281.0"
"83","1994","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","11179.0","27380.0","6027.0","9683.0","5801.0","8459.0","23007.0","45522.0"
"83","1995","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","13870.0","30843.0","4955.0","7674.0","5476.0","6662.0","24301.0","45179.0"
"83","1996","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","11901.0","23821.0","3803.0","8887.0","2353.0","7158.0","18057.0","39866.0"
"83","1997","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","12976.0","24716.0","5852.0","8516.0","4618.0","8337.0","23446.0","41569.0"
"83","1998","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1999","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","2000","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","19261.0","22797.0","6733.0","9196.0","3317.0","6831.0","29311.0","38824.0"
"83","2001","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","12874.0","28966.0","4710.0","11679.0","3216.0","9051.0","20800.0","49696.0"
"83","2002","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","15299.0","22117.0","4734.0","8941.0","3121.0","8650.0","23154.0","39708.0"
"83","2003","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","9837.0","21095.0","5008.0","8316.0","4347.0","8299.0","19192.0","37710.0"
"83","2004","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","13138.0","25768.0","7198.0","9514.0","8916.0","12709.0","29252.0","47991.0"
"83","2005","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","17742.0","26622.0","9430.0","10902.0","9673.0","14038.0","36845.0","51562.0"
"83","2006","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","21179.0","21508.0","10405.0","9836.0","8274.0","5497.0","39858.0","36841.0"
"83","2007","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","10759.0","26062.0","5278.0","15298.0","3560.0","18228.0","19597.0","59588.0"
"83","2008","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","12564.0","24887.0","6623.0","12637.0","14028.0","9318.0","33215.0","46842.0"
"83","2009","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","15620.0","27590.0","7997.0","9820.0","3882.0","9363.0","27499.0","46773.0"
"83","2010","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","16273.0","28415.0","13738.0","12437.0","4165.0","8457.0","34176.0","49309.0"
"83","2011","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","15498.0","24793.0","8786.0","10579.0","2089.0","7368.0","26373.0","42740.0"
"83","2012","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","15212.0","26977.0","6794.0","7893.0","1858.0","5015.0","23864.0","39885.0"
"83","2013","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","17813.0","26143.0","6007.0","8118.0","2947.0","4683.0","26767.0","38944.0"
"83","2014","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","16681.0","25449.0","5105.0","9650.0","2336.0","4533.0","24122.0","39632.0"
"83","2015","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","14032.0","30910.0","5615.0","11171.0","2161.0","5636.0","21808.0","47717.0"
"83","2016","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","17222.0","24457.0","7909.0","8782.0","2738.0","5459.0","27869.0","38698.0"
"83","2017","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","12168.0","33190.0","4768.0","12815.0","2577.0","7058.0","19513.0","53063.0"
"84","1990","11","Tamil Nadu","South Arcot / Cuddalore","16764.0","27259.0","8862.0","9773.0","12635.0","13412.0","38261.0","50444.0"
"84","1991","11","Tamil Nadu","South Arcot / Cuddalore","14965.0","26091.0","7226.0","8886.0","10364.0","14625.0","32555.0","49602.0"
"84","1992","11","Tamil Nadu","South Arcot / Cuddalore","17563.0","34331.0","8675.0","11256.0","9438.0","9045.0","35676.0","54632.0"
"84","1993","11","Tamil Nadu","South Arcot / Cuddalore","15561.0","33586.0","7053.0","11842.0","7041.0","13709.0","29655.0","59137.0"
"84","1994","11","Tamil Nadu","South Arcot / Cuddalore","22193.0","34152.0","11396.0","11120.0","13870.0","13744.0","47459.0","59016.0"
"84","1995","11","Tamil Nadu","South Arcot / Cuddalore","20619.0","26256.0","7367.0","9509.0","10017.0","11064.0","38003.0","46829.0"
"84","1996","11","Tamil Nadu","South Arcot / Cuddalore","22530.0","38115.0","8211.0","12703.0","9384.0","13179.0","40125.0","63997.0"
"84","1997","11","Tamil Nadu","South Arcot / Cuddalore","23609.0","33135.0","10908.0","12000.0","12254.0","12911.0","46771.0","58046.0"
"84","1998","11","Tamil Nadu","South Arcot / Cuddalore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"84","1999","11","Tamil Nadu","South Arcot / Cuddalore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"84","2000","11","Tamil Nadu","South Arcot / Cuddalore","28282.0","35208.0","9593.0","17604.0","9970.0","14715.0","47845.0","67527.0"
"84","2001","11","Tamil Nadu","South Arcot / Cuddalore","22514.0","42161.0","9509.0","16089.0","9414.0","16164.0","41437.0","74414.0"
"84","2002","11","Tamil Nadu","South Arcot / Cuddalore","18026.0","30404.0","6488.0","10158.0","8621.0","10509.0","33135.0","51071.0"
"84","2003","11","Tamil Nadu","South Arcot / Cuddalore","17527.0","33478.0","7417.0","14596.0","8949.0","11936.0","33893.0","60010.0"
"84","2004","11","Tamil Nadu","South Arcot / Cuddalore","21347.0","41215.0","13831.0","17346.0","12881.0","18284.0","48059.0","76845.0"
"84","2005","11","Tamil Nadu","South Arcot / Cuddalore","28156.0","43814.0","16548.0","21053.0","13920.0","20472.0","58624.0","85339.0"
"84","2006","11","Tamil Nadu","South Arcot / Cuddalore","35478.0","35742.0","20225.0","15188.0","12300.0","15920.0","68003.0","66850.0"
"84","2007","11","Tamil Nadu","South Arcot / Cuddalore","21292.0","34658.0","10812.0","9881.0","10525.0","14089.0","42629.0","58628.0"
"84","2008","11","Tamil Nadu","South Arcot / Cuddalore","26367.0","41353.0","9351.0","11356.0","13432.0","24117.0","49150.0","76826.0"
"84","2009","11","Tamil Nadu","South Arcot / Cuddalore","26800.0","46127.0","11280.0","14205.0","13048.0","25073.0","51128.0","85405.0"
"84","2010","11","Tamil Nadu","South Arcot / Cuddalore","29198.0","51412.0","14153.0","17119.0","16075.0","21128.0","59426.0","89659.0"
"84","2011","11","Tamil Nadu","South Arcot / Cuddalore","43456.0","51136.0","17379.0","22453.0","6873.0","22979.0","67708.0","96568.0"
"84","2012","11","Tamil Nadu","South Arcot / Cuddalore","35092.0","55016.0","15415.0","18713.0","5510.0","13989.0","56017.0","87718.0"
"84","2013","11","Tamil Nadu","South Arcot / Cuddalore","36989.0","50601.0","11510.0","16849.0","8989.0","12860.0","57488.0","80310.0"
"84","2014","11","Tamil Nadu","South Arcot / Cuddalore","38254.0","56354.0","12782.0","20014.0","11788.0","15727.0","62824.0","92095.0"
"84","2015","11","Tamil Nadu","South Arcot / Cuddalore","37420.0","68236.0","12717.0","24131.0","10174.0","14783.0","60311.0","107150.0"
"84","2016","11","Tamil Nadu","South Arcot / Cuddalore","37937.0","44686.0","15994.0","16080.0","9933.0","13984.0","63864.0","74750.0"
"84","2017","11","Tamil Nadu","South Arcot / Cuddalore","22342.0","62795.0","8132.0","23771.0","10289.0","18072.0","40763.0","104638.0"
"85","1990","11","Tamil Nadu","North Arcot / Vellore","11488.0","23107.0","6366.0","8703.0","6825.0","10682.0","24679.0","42492.0"
"85","1991","11","Tamil Nadu","North Arcot / Vellore","11237.0","27408.0","6146.0","11341.0","6250.0","11294.0","23633.0","50043.0"
"85","1992","11","Tamil Nadu","North Arcot / Vellore","12900.0","26122.0","5407.0","8259.0","7383.0","7306.0","25690.0","41687.0"
"85","1993","11","Tamil Nadu","North Arcot / Vellore","11701.0","27479.0","4696.0","11103.0","5347.0","10941.0","21744.0","49523.0"
"85","1994","11","Tamil Nadu","North Arcot / Vellore","15730.0","33563.0","7473.0","10520.0","9447.0","11188.0","32650.0","55271.0"
"85","1995","11","Tamil Nadu","North Arcot / Vellore","16970.0","25801.0","6601.0","8335.0","6520.0","9349.0","30091.0","43485.0"
"85","1996","11","Tamil Nadu","North Arcot / Vellore","15468.0","37325.0","4603.0","12761.0","5468.0","9028.0","25539.0","59114.0"
"85","1997","11","Tamil Nadu","North Arcot / Vellore","22294.0","30849.0","10708.0","10961.0","11007.0","10655.0","44009.0","52465.0"
"85","1998","11","Tamil Nadu","North Arcot / Vellore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"85","1999","11","Tamil Nadu","North Arcot / Vellore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"85","2000","11","Tamil Nadu","North Arcot / Vellore","18977.0","33119.0","6522.0","11796.0","5863.0","9774.0","31362.0","54689.0"
"85","2001","11","Tamil Nadu","North Arcot / Vellore","14536.0","36382.0","6340.0","14480.0","5859.0","15935.0","26735.0","66797.0"
"85","2002","11","Tamil Nadu","North Arcot / Vellore","13747.0","21355.0","5179.0","6891.0","5453.0","5947.0","24379.0","34193.0"
"85","2003","11","Tamil Nadu","North Arcot / Vellore","12218.0","25130.0","5669.0","9390.0","6002.0","6319.0","23889.0","40839.0"
"85","2004","11","Tamil Nadu","North Arcot / Vellore","15519.0","30610.0","8470.0","10779.0","6764.0","9475.0","30753.0","50864.0"
"85","2005","11","Tamil Nadu","North Arcot / Vellore","21135.0","32624.0","10648.0","13169.0","7375.0","10561.0","39158.0","56354.0"
"85","2006","11","Tamil Nadu","North Arcot / Vellore","26971.0","32190.0","12954.0","13782.0","6600.0","12018.0","46525.0","57990.0"
"85","2007","11","Tamil Nadu","North Arcot / Vellore","18306.0","40979.0","8860.0","15016.0","9801.0","17103.0","36967.0","73098.0"
"85","2008","11","Tamil Nadu","North Arcot / Vellore","26005.0","45034.0","9300.0","12504.0","14294.0","17879.0","49599.0","75417.0"
"85","2009","11","Tamil Nadu","North Arcot / Vellore","22355.0","41870.0","11835.0","13724.0","8465.0","20834.0","42655.0","76428.0"
"85","2010","11","Tamil Nadu","North Arcot / Vellore","23203.0","48459.0","11001.0","17270.0","8584.0","17948.0","42788.0","83677.0"
"85","2011","11","Tamil Nadu","North Arcot / Vellore","32462.0","45706.0","14643.0","19248.0","6309.0","15664.0","53414.0","80618.0"
"85","2012","11","Tamil Nadu","North Arcot / Vellore","28074.0","47473.0","11570.0","14546.0","7294.0","8624.0","46938.0","70643.0"
"85","2013","11","Tamil Nadu","North Arcot / Vellore","28916.0","39261.0","9101.0","11705.0","8136.0","6940.0","46153.0","57906.0"
"85","2014","11","Tamil Nadu","North Arcot / Vellore","22801.0","38851.0","6903.0","13886.0","5040.0","9469.0","34744.0","62206.0"
"85","2015","11","Tamil Nadu","North Arcot / Vellore","20552.0","62521.0","7784.0","19858.0","4701.0","10640.0","33037.0","93019.0"
"85","2016","11","Tamil Nadu","North Arcot / Vellore","25932.0","32578.0","10182.0","12216.0","6442.0","8690.0","42556.0","53484.0"
"85","2017","11","Tamil Nadu","North Arcot / Vellore","15225.0","53205.0","5651.0","17449.0","6275.0","12049.0","27151.0","82703.0"
"86","1990","11","Tamil Nadu","Salem","10029.0","15116.0","5947.0","6062.0","13061.0","8203.0","29037.0","29381.0"
"86","1991","11","Tamil Nadu","Salem","9970.0","23925.0","5478.0","9324.0","11383.0","8432.0","26831.0","41681.0"
"86","1992","11","Tamil Nadu","Salem","12935.0","23812.0","6494.0","8493.0","9865.0","7552.0","29294.0","39857.0"
"86","1993","11","Tamil Nadu","Salem","13057.0","20021.0","6615.0","9064.0","8928.0","10388.0","28600.0","39473.0"
"86","1994","11","Tamil Nadu","Salem","14684.0","21473.0","8627.0","7589.0","13589.0","12018.0","36900.0","41080.0"
"86","1995","11","Tamil Nadu","Salem","15335.0","19711.0","6200.0","6646.0","9641.0","9139.0","31176.0","35496.0"
"86","1996","11","Tamil Nadu","Salem","12184.0","28803.0","4956.0","10357.0","7629.0","9260.0","24769.0","48420.0"
"86","1997","11","Tamil Nadu","Salem","20258.0","22712.0","10507.0","9557.0","17451.0","8790.0","48216.0","41059.0"
"86","1998","11","Tamil Nadu","Salem","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"86","1999","11","Tamil Nadu","Salem","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"86","2000","11","Tamil Nadu","Salem","21769.0","28340.0","10790.0","11820.0","12592.0","11143.0","45151.0","51303.0"
"86","2001","11","Tamil Nadu","Salem","15967.0","28971.0","8758.0","12939.0","13920.0","11120.0","38645.0","53030.0"
"86","2002","11","Tamil Nadu","Salem","13721.0","20558.0","5847.0","6373.0","9762.0","6753.0","29330.0","33684.0"
"86","2003","11","Tamil Nadu","Salem","10797.0","16572.0","5565.0","7945.0","9557.0","10357.0","25919.0","34874.0"
"86","2004","11","Tamil Nadu","Salem","10599.0","19945.0","7175.0","9112.0","11078.0","15668.0","28852.0","44725.0"
"86","2005","11","Tamil Nadu","Salem","13939.0","21310.0","9008.0","10765.0","12327.0","17358.0","35274.0","49433.0"
"86","2006","11","Tamil Nadu","Salem","22700.0","27615.0","12326.0","14501.0","13039.0","16211.0","48065.0","58327.0"
"86","2007","11","Tamil Nadu","Salem","20626.0","28806.0","13082.0","12858.0","19193.0","12825.0","52901.0","54489.0"
"86","2008","11","Tamil Nadu","Salem","24966.0","37168.0","12083.0","17092.0","20803.0","20210.0","57852.0","74470.0"
"86","2009","11","Tamil Nadu","Salem","27509.0","32898.0","17347.0","15655.0","17703.0","18323.0","62559.0","66876.0"
"86","2010","11","Tamil Nadu","Salem","26013.0","38033.0","17430.0","20615.0","24179.0","19396.0","67622.0","78044.0"
"86","2011","11","Tamil Nadu","Salem","32226.0","41093.0","22166.0","23979.0","8024.0","22866.0","62416.0","87938.0"
"86","2012","11","Tamil Nadu","Salem","25804.0","31892.0","14270.0","15743.0","10413.0","10376.0","50487.0","58011.0"
"86","2013","11","Tamil Nadu","Salem","24784.0","25425.0","10558.0","13851.0","8841.0","10062.0","44183.0","49338.0"
"86","2014","11","Tamil Nadu","Salem","23104.0","38193.0","11817.0","15463.0","12736.0","10490.0","47657.0","64146.0"
