"Dist Code","Year","State Code","State Name","Dist Name","DISTRICT MALE FIELD LABOUR (Rs per Day)","DISTRICT FEMALE FIELD LABOUR (Rs per Day)","STATE MALE AVERAGE FIELD LABOUR (Rs per Day)","STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day)"
"83","1966","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","2.2","1.6","2.1","1.6"
"83","1967","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","2.2","1.5","2.5","1.5"
"83","1968","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","2.6","1.5","2.6","1.5"
"83","1969","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","2.3","2.0","2.72","2.0"
"83","1970","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","2.5","2.0","2.8","2.0"
"83","1971","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","2.3","2.0","2.2","2.0"
"83","1972","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","2.6","2.2","2.39","2.2"
"83","1973","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","2.8","2.2","3.5","2.2"
"83","1974","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","4.5","2.02","5.2","2.02"
"83","1975","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5.2","-1.0","-1.0","-1.0"
"83","1976","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5.3","-1.0","-1.0","-1.0"
"83","1977","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5.0","-1.0","-1.0","-1.0"
"83","1978","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5.4","-1.0","-1.0","-1.0"
"83","1979","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5.4","-1.0","-1.0","-1.0"
"83","1980","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5.4","-1.0","-1.0","-1.0"
"83","1981","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","7.0","4.0","6.61","4.0"
"83","1982","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5.4","4.99","6.7","4.99"
"83","1983","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","4.0","7.0","8.06","7.0"
"83","1984","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","4.5","7.57","8.62","7.57"
"83","1985","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","6.3","6.0","9.22","6.0"
"83","1986","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","6.92","6.08","9.92","6.08"
"83","1987","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","8.0","7.5","10.54","7.5"
"83","1988","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","8.7","6.0","11.89","6.0"
"83","1989","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","7.7","10.0","13.9","10.0"
"83","1990","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","8.0","5.0","15.41","5.0"
"83","1991","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","13.59","9.92","17.5","9.92"
"83","1992","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","14.37","12.5","22.11","12.5"
"83","1993","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","26.45","22.68","29.94","22.68"
"83","1994","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","20.0","18.0","29.48","18.0"
"83","1995","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","29.95","27.42","39.43","27.42"
"83","1996","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","39.1","32.87","45.29","32.87"
"83","1997","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","49.0","40.0","50.29","40.0"
"83","1998","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","40.51","32.85","56.19","32.85"
"83","1999","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","52.14","39.37","60.73","39.37"
"83","2000","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","65.15","48.93","64.19","48.93"
"83","2001","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","47.56","36.9","66.14","36.9"
"83","2002","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","55.7","42.31","69.48","42.31"
"83","2003","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","55.35","40.04","65.98","40.04"
"83","2004","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","55.2","43.34","67.55","43.34"
"83","2005","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","73.56","48.78","75.82","48.78"
"83","2006","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","72.0","53.01","82.19","53.01"
"83","2007","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","82.07","61.69","97.1","61.69"
"83","2008","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","88.04","74.01","120.93","74.01"
"83","2009","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","98.17","78.04","129.55","78.04"
"83","2012","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","253.85","-1.0","245.4","-1.0"
"83","2013","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","295.0","-1.0","253.21","-1.0"
"83","2014","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","295.08","-1.0","303.0","-1.0"
"83","2015","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","360.09","-1.0","334.5","-1.0"
"84","1966","11","Tamil Nadu","South Arcot / Cuddalore","1.6","0.75","2.1","0.75"
"84","1967","11","Tamil Nadu","South Arcot / Cuddalore","1.9","1.0","2.5","1.0"
"84","1968","11","Tamil Nadu","South Arcot / Cuddalore","2.0","2.0","2.6","2.0"
"84","1969","11","Tamil Nadu","South Arcot / Cuddalore","2.1","2.0","2.72","2.0"
"84","1970","11","Tamil Nadu","South Arcot / Cuddalore","2.0","1.0","2.8","1.0"
"84","1971","11","Tamil Nadu","South Arcot / Cuddalore","2.4","1.0","2.2","1.0"
"84","1972","11","Tamil Nadu","South Arcot / Cuddalore","2.7","1.67","2.39","1.67"
"84","1973","11","Tamil Nadu","South Arcot / Cuddalore","2.7","1.67","3.5","1.67"
"84","1974","11","Tamil Nadu","South Arcot / Cuddalore","3.8","1.91","5.2","1.91"
"84","1975","11","Tamil Nadu","South Arcot / Cuddalore","4.2","-1.0","-1.0","-1.0"
"84","1976","11","Tamil Nadu","South Arcot / Cuddalore","5.1","-1.0","-1.0","-1.0"
"84","1977","11","Tamil Nadu","South Arcot / Cuddalore","4.8","-1.0","-1.0","-1.0"
"84","1978","11","Tamil Nadu","South Arcot / Cuddalore","5.2","-1.0","-1.0","-1.0"
"84","1979","11","Tamil Nadu","South Arcot / Cuddalore","4.8","-1.0","-1.0","-1.0"
"84","1980","11","Tamil Nadu","South Arcot / Cuddalore","4.2","-1.0","-1.0","-1.0"
"84","1981","11","Tamil Nadu","South Arcot / Cuddalore","3.6","2.25","6.61","2.25"
"84","1982","11","Tamil Nadu","South Arcot / Cuddalore","3.0","3.73","6.7","3.73"
"84","1983","11","Tamil Nadu","South Arcot / Cuddalore","5.0","6.66","8.06","6.66"
"84","1984","11","Tamil Nadu","South Arcot / Cuddalore","5.0","5.58","8.62","5.58"
"84","1985","11","Tamil Nadu","South Arcot / Cuddalore","5.0","3.0","9.22","3.0"
"84","1986","11","Tamil Nadu","South Arcot / Cuddalore","5.0","4.99","9.92","4.99"
"84","1987","11","Tamil Nadu","South Arcot / Cuddalore","7.7","3.0","10.54","3.0"
"84","1988","11","Tamil Nadu","South Arcot / Cuddalore","10.0","8.76","11.89","8.76"
"84","1989","11","Tamil Nadu","South Arcot / Cuddalore","11.7","8.16","13.9","8.16"
"84","1990","11","Tamil Nadu","South Arcot / Cuddalore","15.0","7.0","15.41","7.0"
"84","1991","11","Tamil Nadu","South Arcot / Cuddalore","13.66","8.82","17.5","8.82"
"84","1992","11","Tamil Nadu","South Arcot / Cuddalore","15.15","9.65","22.11","9.65"
"84","1993","11","Tamil Nadu","South Arcot / Cuddalore","16.93","20.38","29.94","20.38"
"84","1994","11","Tamil Nadu","South Arcot / Cuddalore","25.0","16.5","29.48","16.5"
"84","1995","11","Tamil Nadu","South Arcot / Cuddalore","39.65","26.44","39.43","26.44"
