"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","30.6","2.1","17.5","4.5","254.0","36.1","89.0","99.5","188.8","344.3","271.7","49.9","1388.0"
"83","1991","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","18.2","2.1","0.0","4.1","5.8","242.4","59.8","136.7","151.4","281.7","538.3","4.1","1444.6"
"83","1992","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","11.4","0.0","0.0","11.1","23.9","6.9","67.3","117.1","112.9","124.4","378.6","93.8","947.4"
"83","1993","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","0.0","3.6","0.6","0.0","38.1","41.8","65.7","169.0","168.8","239.4","427.9","233.2","1388.1"
"83","1994","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","0.5","16.1","0.6","0.0","35.7","38.5","99.2","138.7","87.2","312.5","437.7","145.3","1312.0"
"83","1995","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","81.5","1.6","8.5","1.9","275.0","93.1","107.7","257.8","200.4","204.3","153.0","2.0","1386.8"
"83","1996","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","0.2","0.0","0.0","44.5","5.6","396.9","55.8","107.3","166.3","246.2","249.0","412.4","1684.2"
"83","2012","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","7.9","0.0","0.0","0.1","5.9","31.6","75.1","141.9","93.8","318.4","95.3","132.6","902.6"
"83","2013","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","0.0","24.3","13.7","0.0","16.7","73.8","135.3","153.3","172.8","137.1","116.9","61.4","905.3"
"83","2014","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","0.5","3.4","0.0","0.0","35.7","117.6","50.9","130.9","130.6","196.3","135.0","106.9","907.8"
"83","2015","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","1.7","0.0","0.0","49.5","45.4","32.2","102.2","140.4","70.3","179.8","1061.3","574.0","2256.8"
"84","1966","11","Tamil Nadu","South Arcot / Cuddalore","10.4","1.8","5.7","10.2","130.8","40.4","55.9","409.0","166.6","422.5","285.3","183.6","1722.3"
"84","1967","11","Tamil Nadu","South Arcot / Cuddalore","83.8","0.0","20.5","8.5","11.7","59.6","71.1","192.9","76.0","210.5","192.2","243.5","1170.3"
"84","1968","11","Tamil Nadu","South Arcot / Cuddalore","0.3","1.1","34.6","82.2","34.3","31.3","27.1","131.3","170.0","81.0","206.9","125.4","925.5"
"84","1969","11","Tamil Nadu","South Arcot / Cuddalore","0.4","6.5","0.0","2.3","16.5","25.4","25.9","111.9","49.2","418.0","451.3","188.0","1295.4"
"84","1970","11","Tamil Nadu","South Arcot / Cuddalore","11.9","19.3","0.8","18.1","54.8","41.7","100.4","103.4","187.5","109.6","425.0","31.7","1104.4"
"84","1971","11","Tamil Nadu","South Arcot / Cuddalore","33.8","27.6","28.0","17.4","60.8","43.9","80.3","134.6","110.4","348.0","97.3","405.9","1387.7"
"84","1972","11","Tamil Nadu","South Arcot / Cuddalore","0.4","0.2","0.0","1.9","94.6","34.8","66.4","78.0","223.0","359.9","166.6","347.6","1373.4"
"84","1973","11","Tamil Nadu","South Arcot / Cuddalore","0.0","0.0","0.5","0.4","18.3","79.1","37.0","132.7","169.3","291.1","187.2","113.1","1028.7"
"84","1974","11","Tamil Nadu","South Arcot / Cuddalore","0.1","5.4","7.1","0.5","26.1","55.9","78.7","98.9","120.2","181.8","37.6","57.7","669.9"
"84","1975","11","Tamil Nadu","South Arcot / Cuddalore","5.1","0.1","55.8","0.0","47.5","21.8","175.7","130.4","91.1","228.8","251.6","78.3","1086.1"
"84","1976","11","Tamil Nadu","South Arcot / Cuddalore","0.2","0.5","0.0","8.6","21.4","38.0","127.3","142.8","77.6","167.5","329.1","139.7","1052.6"
"84","1977","11","Tamil Nadu","South Arcot / Cuddalore","3.3","13.6","0.1","25.8","58.2","81.8","28.4","169.0","107.5","420.6","602.9","17.1","1528.4"
"84","1978","11","Tamil Nadu","South Arcot / Cuddalore","1.4","5.7","0.0","6.4","19.5","22.6","68.7","84.4","207.4","194.8","313.8","284.9","1209.4"
"84","1979","11","Tamil Nadu","South Arcot / Cuddalore","0.8","4.0","8.9","1.3","26.5","52.3","48.0","90.8","263.3","222.1","652.6","72.1","1443.0"
"84","1980","11","Tamil Nadu","South Arcot / Cuddalore","0.0","0.0","0.9","17.6","6.6","29.8","95.0","77.0","78.0","121.2","203.6","63.9","693.4"
"84","1981","11","Tamil Nadu","South Arcot / Cuddalore","41.6","0.0","6.4","0.1","116.5","27.1","166.4","115.3","158.0","321.5","158.4","98.2","1209.7"
"84","1982","11","Tamil Nadu","South Arcot / Cuddalore","1.2","0.0","0.7","8.0","17.9","17.5","61.8","29.4","100.8","91.8","281.5","59.7","670.2"
"84","1983","11","Tamil Nadu","South Arcot / Cuddalore","0.6","0.0","0.0","0.0","48.1","36.0","82.4","171.6","163.2","137.1","114.8","432.1","1186.0"
"84","1984","11","Tamil Nadu","South Arcot / Cuddalore","33.6","236.0","122.5","16.5","3.4","17.1","159.5","53.4","218.3","90.5","203.3","77.3","1231.3"
"84","1985","11","Tamil Nadu","South Arcot / Cuddalore","184.6","12.8","0.7","5.2","32.3","73.8","72.9","161.2","187.3","153.7","443.3","133.7","1461.4"
"84","1986","11","Tamil Nadu","South Arcot / Cuddalore","135.5","29.4","63.2","1.5","25.3","43.9","54.8","88.9","156.1","228.5","217.9","154.0","1199.0"
"84","1987","11","Tamil Nadu","South Arcot / Cuddalore","17.0","0.3","28.6","4.9","12.7","78.7","14.9","92.9","184.3","173.4","191.3","274.4","1073.3"
"84","1988","11","Tamil Nadu","South Arcot / Cuddalore","0.2","0.0","2.1","66.6","31.1","22.4","80.3","189.7","156.1","63.0","191.0","66.9","869.3"
"84","1989","11","Tamil Nadu","South Arcot / Cuddalore","3.3","0.0","14.8","2.5","38.9","45.5","154.9","39.3","95.5","152.2","351.7","60.9","959.5"
"84","1990","11","Tamil Nadu","South Arcot / Cuddalore","79.4","16.8","30.9","3.6","76.3","30.7","49.6","157.5","141.4","223.1","122.7","57.4","989.4"
"84","1991","11","Tamil Nadu","South Arcot / Cuddalore","10.1","6.0","0.0","8.4","2.8","73.7","17.6","111.8","112.8","277.1","414.2","20.2","1054.7"
"84","1992","11","Tamil Nadu","South Arcot / Cuddalore","0.9","0.0","0.0","4.0","11.2","37.3","70.8","44.6","179.0","148.3","362.3","120.2","978.6"
"84","1993","11","Tamil Nadu","South Arcot / Cuddalore","0.0","8.5","0.8","0.0","8.8","90.0","66.6","133.8","137.3","219.4","380.0","311.8","1357.0"
"84","1994","11","Tamil Nadu","South Arcot / Cuddalore","1.1","39.1","0.0","0.4","31.0","21.5","56.4","113.5","52.7","148.3","284.6","72.1","820.7"
"84","1995","11","Tamil Nadu","South Arcot / Cuddalore","21.5","1.7","10.9","1.6","163.4","51.8","99.3","123.5","188.4","141.3","135.6","8.6","947.6"
"84","1996","11","Tamil Nadu","South Arcot / Cuddalore","0.3","0.0","0.0","44.5","32.4","225.2","37.9","139.1","180.0","176.0","237.1","762.6","1835.1"
"84","1997","11","Tamil Nadu","South Arcot / Cuddalore","13.0","17.1","11.2","38.6","55.9","37.0","47.0","96.0","155.9","196.6","514.2","355.3","1537.8"
"84","1998","11","Tamil Nadu","South Arcot / Cuddalore","1.3","0.3","0.0","0.0","57.7","4.2","35.3","91.5","96.8","178.4","379.0","416.2","1260.7"
